,time,gauge_precipitation_matched,Latitude,Longitude,Height,Reflectivity,Zdr,Kdp,Rhohv,PrecipRateA,PrecipRateZ,GaugeName,date,STID,nlat,elon,labels
5414,2023-07-09 11:35:00,3.299999999999997,,,971.4054275791636,31.029374607349983,0.5603298611111112,0.0142299599117702,0.9918518596225316,,2.3378531461852363,,07/09/2023,CHIC,35.03335808094408,-97.91367062502418,3
5415,2023-07-09 11:40:00,2.539999999999999,,,971.4054275791634,30.34368626286422,0.51953125,0.0092007584042019,0.9941203759776222,,2.009563373872955,,07/09/2023,CHIC,35.03339543679644,-97.91369705664658,3
5416,2023-07-09 11:45:00,2.2900000000000063,,,971.4054275791636,30.16396654996008,0.3359375,0.0019569661882188,0.9999537037478552,,1.744643753002217,,07/09/2023,CHIC,35.03327520945705,-97.9136119399647,3
5417,2023-07-09 11:50:00,1.7800000000000011,,,971.4054275791634,26.86660226758712,0.2651515151515152,-0.0089008543226453,1.0002020200093589,,1.086124952770958,,07/09/2023,CHIC,35.033358182123,-97.91367072716127,0
5418,2023-07-09 11:55:00,1.2700000000000031,,,971.4054275791636,24.89666239640612,1.2296401515151516,-0.0115424791971842,1.0055050452550254,,0.7359079489870477,,07/09/2023,CHIC,35.0334327926488,-97.91372351745105,0
5419,2023-07-09 12:00:00,1.0200000000000031,,,971.4054275791634,23.858380891145508,2.425662878787879,-0.0132713317871093,0.9769191868377456,,0.549417851006606,,07/09/2023,CHIC,35.03349486294026,-97.91376750935912,0
5420,2023-07-09 12:05:00,0.7700000000000031,,,971.4054275791634,23.46220254604757,2.6557291666666667,-0.0100019772847493,0.9756111045678456,,0.4426979756859724,,07/09/2023,CHIC,35.033532090831045,-97.91379386073096,0
5421,2023-07-09 12:10:00,0.5100000000000051,,,971.4054275791636,21.3306457141655,3.580729166666667,-0.0189768473307291,0.981111099322637,,0.2760792030041296,,07/09/2023,CHIC,35.033573711077295,-97.9138233053978,0
5422,2023-07-09 12:15:00,0.5100000000000051,,,971.4054275791634,20.689613554208663,3.945023148148149,-0.0274841255611843,0.9803086276407595,,0.2042105960198277,,07/09/2023,CHIC,35.03329601065262,-97.91362660393406,0
5423,2023-07-09 12:20:00,0.2600000000000051,,,971.4054275791636,16.11856419955291,4.385416666666667,-0.0294581519232855,0.978472205499808,,0.0892848216307119,,07/09/2023,CHIC,35.03325863992101,-97.91360019419818,1
